Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Bosnia and Herzegovina,BIH,5.287471504,4.273267286,5.17386249,3.905335705,6.04272597,8.752267862,5.474783178,6.008954928,5.718081599,-2.561644251,1.535501887,1.868109553,0.283770536,3.575914101,2.255771738,3.952548062,3.705570292,3.474516419
Belarus,BLR,6.299636506,5.263892143,5.716082247,7.794918029,12.21261814,10.14976732,10.67558665,9.099459986,10.58130516,0.423651119,7.982069183,5.572385837,1.780361776,0.987444297,1.63497133,-3.982648864,-2.648709831,2.457165515
Belize,BLZ,9.231617579,1.857094464,2.224543949,6.515233559,2.010365259,-0.024852445,1.894643824,-1.489757781,0.613111015,-1.818959274,0.914995551,-0.191038498,0.642125846,-1.339855364,1.477261777,1.245787205,-2.664829491,-0.654639739
Bermuda,BMU,8.348323379,6.071369604,-2.116731459,2.736270805,1.655070593,1.018080926,4.94027207,2.267374058,0.929051522,-5.808003155,-1.324384803,-2.501103308,-5.178203827,-2.815614911,,,,
Bolivia,BOL,0.580449667,-0.193520397,0.626496578,0.880169907,2.345783149,2.617250563,3.014237198,2.813307964,4.396898906,1.674131284,2.452273858,3.53285763,3.472792957,5.140099428,3.844087843,3.267949173,2.701313052,2.651663016
Brazil,BRA,2.882260135,-0.015058807,1.680366779,-0.151199946,4.468261964,1.999100091,2.809653455,4.951447604,4.030944857,-1.108159131,6.489928787,2.985150839,0.968695858,2.064562585,-0.384133512,-4.36482691,-4.092763364,0.274131639
Barbados,BRB,4.095008173,-2.679594809,0.507033794,1.868375899,1.097586847,3.626860733,5.272870113,1.354868827,-0.298848671,-4.369836517,-0.128702359,0.287094719,-0.069279288,-0.318054762,-0.291089557,0.608778277,1.728344952,0.744423717
Brunei Darussalam,BRN,0.703799978,0.66690817,1.850755489,1.004802991,-1.210435708,-1.161640293,2.961951444,-1.07816724,-3.074286195,-2.92153579,1.308103911,2.336377027,-0.534908279,-3.56573477,-3.77001402,-1.957072203,-3.768599023,0.028510508
Bhutan,BTN,3.972960527,5.2336757,7.660360299,4.722463803,3.109913046,4.454116703,4.371523942,15.39721708,2.677022729,4.640694092,9.706576106,6.015924803,3.333415455,0.540980785,4.181025813,5.163107585,6.61672321,3.353642316
Botswana,BWA,0.307236221,-1.268664175,4.578678287,3.211855041,1.30272815,3.06242556,6.731371966,6.570048514,4.502092749,-9.216297545,6.678647787,4.162767346,2.557541393,9.293268212,2.225017834,-3.505571068,2.411925661,0.510850121
Central African Republic,CAF,-4.527371948,2.359826068,1.616952716,-7.156950173,4.077034263,-0.873220023,2.929681162,2.796095803,0.419859862,0.350323252,2.020575379,2.663119801,3.782102263,-36.82989636,0.687829612,4.091983725,3.427394581,2.856934347
Canada,CAN,4.258017061,0.748589119,2.090014217,0.793120836,2.05816244,2.188914999,1.808912962,1.077673059,-0.086768936,-4.054323962,1.941577559,2.127591675,0.551584748,1.30361519,1.74722367,0.163265349,0.205758624,1.802411357
Central Europe and the Baltics,CEB,4.622533285,3.798211793,4.138892103,4.773251851,5.863179161,5.214033057,6.84131056,6.792842311,4.128982034,-3.316018894,2.08060426,3.451980504,0.974398118,1.554257066,3.266201683,4.06828453,3.407678009,5.021140494
Switzerland,CHE,3.35438373,0.673371792,-0.592227692,-0.699890146,2.072135872,2.45679894,3.338088149,3.185584618,0.864917227,-3.436225955,1.935433937,0.568370351,-0.060803476,0.687571592,1.206825767,0.186394303,0.497742666,0.684642275
Channel Islands,CHI,5.088043023,-2.215158008,-2.354478253,-3.926049308,-0.516507647,0.639218251,4.128469015,5.152704958,,,,,,,,,,
Chile,CHL,4.044734971,2.084309692,1.927878087,2.932131564,6.040138121,4.608026532,5.191919769,3.811882653,2.471645451,-2.543950469,4.823241065,5.121137917,4.367101911,3.132019318,0.89537447,1.447756314,0.43428304,0.674983936
China,CHN,7.640001655,7.555801672,8.401915061,9.352364262,9.45917505,10.74255231,12.09183627,13.63634486,9.093872102,8.857029819,10.10310072,9.012854035,7.332030984,7.226936454,6.755778416,6.358383356,6.123803825,6.303967123
Cote d'Ivoire,CIV,-4.3357168,-1.956192652,-3.515579751,-3.104989071,-0.559034179,-0.156953168,-0.455535428,-0.295788895,0.375834837,0.981061397,-0.307436734,-6.647608026,8.00176057,6.17436763,6.065754946,6.124571814,5.295011482,5.047386249
Cameroon,CMR,0.961237317,1.719625216,1.561045985,1.851129014,3.977432451,-0.683253793,0.690443666,2.074680989,0.688419344,-0.56519321,0.636570103,1.338592131,1.756738266,2.613702643,3.102738745,2.900267022,1.948836807,0.903557625
"Congo, Dem. Rep.",COD,-9.239756474,-4.766335642,-0.029831099,2.384650964,3.429236238,2.806262935,1.983940773,2.849735839,2.784278926,-0.500119648,3.599043063,3.365772616,3.570436737,4.926509156,5.896416369,3.44510359,-0.903382021,0.381205501
"Congo, Rep.",COG,4.595113178,0.982643623,1.777185896,-1.930885431,0.522812427,4.486666389,2.804197998,-4.895969042,2.001652343,3.975409551,5.454836285,0.53220782,1.097463018,0.871120616,4.155784528,0.08739607,-5.268464946,-5.585314851
Colombia,COL,1.43545282,0.226857288,1.065060726,2.489228212,3.922772027,3.34837565,5.439446434,5.551168521,2.045206544,0.058604955,3.206963611,6.232264851,2.850694341,3.547537302,3.744554111,2.023519393,1.072527479,0.934070318
Comoros,COM,8.08688541,-0.158002157,-0.117108885,-0.300216019,-0.47240465,0.416533343,0.222132637,-1.58712863,1.530002524,0.744011366,1.325682766,1.613333795,0.73399242,2.014989816,-0.304648138,-1.245913887,-0.146483955,0.39699141
Cabo Verde,CPV,11.97489493,0.241699657,3.297687843,2.355794752,8.425819327,5.357320995,6.584978002,13.83463241,5.504249144,-2.311434992,0.371907559,2.805938975,-0.080767942,-0.384688683,-0.598750895,-0.220579514,3.415889745,2.713443704
Costa Rica,CRI,1.803821045,1.642849889,1.603629169,2.669473565,2.814849521,2.38408022,5.720727866,6.665863043,3.231143355,-2.26692409,3.635324396,3.055681443,3.58892727,1.133016576,2.401894438,2.548026585,3.185303306,2.259506116
Caribbean small states,CSS,3.086591147,1.312019482,2.929240239,5.018441399,3.255269432,3.022335552,6.108312496,2.547405498,0.596397566,-4.16511255,0.812047431,0.457712975,0.671488886,0.248173098,0.04368555,0.4584555,-2.411316546,-0.342035826
Cuba,CUB,5.527869119,2.854754187,1.14041943,3.544567351,5.563483202,11.03105381,11.94701384,7.191405004,4.060975651,1.371998715,2.25981038,2.60673959,2.766054888,2.477313337,0.803785555,4.240727505,0.386323552,1.706800865
Curacao,CUW,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,-3.552474392,-3.183299474,-1.53254057,-0.858694708,-1.811344849,3.602145119,1.654198397,0.253079819,-3.074102526,-9.513686234,-4.867839363,-0.747827952,-0.431511048,-0.192030664,1.264914673,1.476602575,2.169155231,1.572775711
Cyprus,CYP,4.844168548,2.838097364,2.541045775,1.383603443,3.630815343,3.353752826,2.981292304,2.88407631,1.07653062,-4.610633401,-1.280429629,-2.125886766,-4.34671215,-5.580070362,-0.219240256,2.544489347,4.332535438,3.26637059
